order_id,order_date,order_time,crop_type,state,season,quantity_quintals,price_per_quintal_inr,total_value_inr,quality_grade,buyer_type,buyer_id,status,payment_status,created_timestamp
ORD-00000001,18-12-2023,56:17.3,soybean,Maharashtra,rabi,254.87,4072.64,1037990.01,C,trader,BUYER-00072,completed,paid,2023-12-18T10:56:17.336399
ORD-00000002,18-12-2023,56:17.3,groundnut,Odisha,rabi,488.68,4663.39,2278888.03,A,processor,BUYER-00467,pending,pending,2023-12-18T10:56:17.336399
ORD-00000003,18-12-2023,56:17.3,soybean,Maharashtra,rabi,88.91,4444.99,395201.19,A,retailer,BUYER-00373,completed,partial,2023-12-18T10:56:17.336399
ORD-00000004,18-12-2023,56:17.3,sesame,Maharashtra,rabi,299.99,6905.74,2071650.93,C,retailer,BUYER-00662,pending,partial,2023-12-18T10:56:17.336399
ORD-00000005,19-12-2023,56:17.3,sesame,Gujarat,rabi,656.72,7148.26,4694409.06,A,exporter,BUYER-00806,pending,pending,2023-12-19T10:56:17.336399
ORD-00000006,19-12-2023,56:17.3,soybean,Rajasthan,rabi,26.59,5164.49,137298.03,C,exporter,BUYER-00161,delivered,pending,2023-12-19T10:56:17.336399
ORD-00000007,20-12-2023,56:17.3,groundnut,Karnataka,rabi,429.21,5093.83,2186327.6,B,processor,BUYER-00561,completed,pending,2023-12-20T10:56:17.336399
ORD-00000008,20-12-2023,56:17.3,soybean,Telangana,rabi,154.52,4364.81,674451.86,B,trader,BUYER-00476,completed,partial,2023-12-20T10:56:17.336399
ORD-00000009,20-12-2023,56:17.3,mustard,Haryana,rabi,984.19,4415.19,4345391.01,A,exporter,BUYER-00958,completed,partial,2023-12-20T10:56:17.336399
ORD-00000010,21-12-2023,56:17.3,sunflower,Bihar,rabi,273.12,3666.01,1001273.39,C,trader,BUYER-00244,pending,paid,2023-12-21T10:56:17.336399
ORD-00000011,21-12-2023,56:17.3,soybean,Maharashtra,rabi,197.55,3887.71,768016.77,C,retailer,BUYER-00819,delivered,paid,2023-12-21T10:56:17.336399
ORD-00000012,21-12-2023,56:17.3,groundnut,Madhya Pradesh,rabi,641.05,5122.78,3283952.79,B,trader,BUYER-00274,delivered,partial,2023-12-21T10:56:17.336399
ORD-00000013,21-12-2023,56:17.3,sunflower,Rajasthan,rabi,682.11,4330.82,2954086.64,B,trader,BUYER-00242,completed,partial,2023-12-21T10:56:17.336399
ORD-00000014,22-12-2023,56:17.3,sunflower,Odisha,rabi,165.38,3341.35,552576.32,C,processor,BUYER-00340,pending,partial,2023-12-22T10:56:17.336399
ORD-00000015,22-12-2023,56:17.3,groundnut,Haryana,rabi,199.66,5485.89,1095320.91,C,retailer,BUYER-00428,completed,pending,2023-12-22T10:56:17.336399
ORD-00000016,22-12-2023,56:17.3,mustard,Andhra Pradesh,rabi,331.76,4129.52,1370012.7,C,retailer,BUYER-00206,pending,pending,2023-12-22T10:56:17.336399
ORD-00000017,23-12-2023,56:17.3,soybean,Karnataka,rabi,119.84,4719.41,565595.75,A,trader,BUYER-00002,delivered,pending,2023-12-23T10:56:17.336399
ORD-00000018,23-12-2023,56:17.3,soybean,Karnataka,rabi,115.83,4105.72,475580.76,C,trader,BUYER-00772,completed,partial,2023-12-23T10:56:17.336399
ORD-00000019,24-12-2023,56:17.3,mustard,Gujarat,rabi,102.55,5292.89,542762.43,C,exporter,BUYER-00556,completed,pending,2023-12-24T10:56:17.336399
ORD-00000020,24-12-2023,56:17.3,groundnut,Karnataka,rabi,567.33,5815.93,3299548.62,C,trader,BUYER-00270,pending,partial,2023-12-24T10:56:17.336399
ORD-00000021,24-12-2023,56:17.3,mustard,Punjab,rabi,664,4550.22,3021342.59,B,trader,BUYER-00462,completed,paid,2023-12-24T10:56:17.336399
ORD-00000022,25-12-2023,56:17.3,sesame,Uttar Pradesh,rabi,353.19,7399.29,2613385.21,A,processor,BUYER-00725,completed,paid,2023-12-25T10:56:17.336399
ORD-00000023,25-12-2023,56:17.3,groundnut,Bihar,rabi,269.89,4843.3,1307138.8,B,processor,BUYER-00053,delivered,pending,2023-12-25T10:56:17.336399
ORD-00000024,25-12-2023,56:17.3,sesame,Uttar Pradesh,rabi,260.02,7407.25,1926058.4,C,trader,BUYER-00188,pending,paid,2023-12-25T10:56:17.336399
ORD-00000025,25-12-2023,56:17.3,soybean,Bihar,rabi,112.98,4015.25,453634.19,C,trader,BUYER-00015,pending,pending,2023-12-25T10:56:17.336399
ORD-00000026,26-12-2023,56:17.3,soybean,Andhra Pradesh,rabi,47.62,5157.3,245602.05,B,retailer,BUYER-00344,delivered,paid,2023-12-26T10:56:17.336399
ORD-00000027,26-12-2023,56:17.3,sunflower,Haryana,rabi,372.97,3564.58,1329470.01,A,processor,BUYER-00063,pending,pending,2023-12-26T10:56:17.336399
ORD-00000028,27-12-2023,56:17.3,sesame,Punjab,rabi,165.7,6912.12,1145345.7,A,retailer,BUYER-00419,delivered,paid,2023-12-27T10:56:17.336399
ORD-00000029,27-12-2023,56:17.3,sesame,Haryana,rabi,450.28,5669.39,2552807.4,A,trader,BUYER-00231,delivered,paid,2023-12-27T10:56:17.336399
ORD-00000030,27-12-2023,56:17.3,soybean,Telangana,rabi,185.21,5060.2,937207.51,B,retailer,BUYER-00201,completed,paid,2023-12-27T10:56:17.336399
ORD-00000031,27-12-2023,56:17.3,sesame,Madhya Pradesh,rabi,428.31,6170.25,2642764.64,A,exporter,BUYER-00048,completed,partial,2023-12-27T10:56:17.336399
ORD-00000032,28-12-2023,56:17.3,groundnut,Rajasthan,rabi,250.72,4927.29,1235386.38,C,exporter,BUYER-00099,pending,paid,2023-12-28T10:56:17.336399
ORD-00000033,28-12-2023,56:17.3,sunflower,Haryana,rabi,345.16,3543.18,1222978.22,C,exporter,BUYER-00547,completed,partial,2023-12-28T10:56:17.336399
ORD-00000034,28-12-2023,56:17.3,groundnut,Odisha,rabi,334.68,4606.57,1541741.11,B,exporter,BUYER-00462,pending,partial,2023-12-28T10:56:17.336399
ORD-00000035,28-12-2023,56:17.3,sunflower,Uttar Pradesh,rabi,516.69,4052.77,2094008.03,C,exporter,BUYER-00503,completed,paid,2023-12-28T10:56:17.336399
ORD-00000036,29-12-2023,56:17.3,groundnut,Madhya Pradesh,rabi,297.42,4483.08,1333335.7,B,processor,BUYER-00207,pending,partial,2023-12-29T10:56:17.336399
ORD-00000037,29-12-2023,56:17.3,groundnut,Punjab,rabi,479.94,4459.65,2140362.01,A,processor,BUYER-00461,completed,partial,2023-12-29T10:56:17.336399
ORD-00000038,29-12-2023,56:17.3,soybean,Karnataka,rabi,101.36,5034.28,510259.71,A,processor,BUYER-00241,delivered,paid,2023-12-29T10:56:17.336399
ORD-00000039,29-12-2023,56:17.3,sesame,Karnataka,rabi,172.31,6516.71,1122921.98,B,exporter,BUYER-00734,completed,partial,2023-12-29T10:56:17.336399
ORD-00000040,30-12-2023,56:17.3,groundnut,Odisha,rabi,165.43,5060.2,837083.82,C,exporter,BUYER-00171,completed,pending,2023-12-30T10:56:17.336399
ORD-00000041,30-12-2023,56:17.3,mustard,Karnataka,rabi,271.44,5437.71,1476038.4,A,processor,BUYER-00839,pending,pending,2023-12-30T10:56:17.336399
ORD-00000042,31-12-2023,56:17.3,sunflower,Gujarat,rabi,589.31,4233.73,2494987.67,B,exporter,BUYER-00682,pending,paid,2023-12-31T10:56:17.336399
ORD-00000043,31-12-2023,56:17.3,soybean,Maharashtra,rabi,322.65,4680.1,1510033.86,B,trader,BUYER-00646,completed,paid,2023-12-31T10:56:17.336399
ORD-00000044,31-12-2023,56:17.3,groundnut,Karnataka,rabi,306.53,4760.77,1459311.59,C,exporter,BUYER-00340,completed,pending,2023-12-31T10:56:17.336399
ORD-00000045,31-12-2023,56:17.3,groundnut,Andhra Pradesh,rabi,643.6,5261.37,3386238.43,B,retailer,BUYER-00506,completed,pending,2023-12-31T10:56:17.336399
ORD-00000046,01-01-2024,56:17.3,sesame,Madhya Pradesh,rabi,587.4,6145.11,3609638.46,A,processor,BUYER-00225,completed,paid,2024-01-01T10:56:17.336399
ORD-00000047,01-01-2024,56:17.3,groundnut,Gujarat,rabi,323.36,5430.4,1755981.65,B,exporter,BUYER-00633,completed,pending,2024-01-01T10:56:17.336399
ORD-00000048,01-01-2024,56:17.3,soybean,Rajasthan,rabi,275.95,4986.99,1376160.79,B,processor,BUYER-00359,delivered,pending,2024-01-01T10:56:17.336399
ORD-00000049,01-01-2024,56:17.3,mustard,Andhra Pradesh,rabi,188.62,4849.09,914657.45,B,exporter,BUYER-00318,completed,paid,2024-01-01T10:56:17.336399
