date,crop_type,state,season,total_quantity_ordered,total_value_inr,price_per_quintal_inr,order_count,processor_demand,modal_price_inr,arrival_quantity_quintals,bid_quantity_quintals,bid_count_x,view_count,bid_count_y,lots_quantity_listed
18-12-2023,groundnut,Odisha,rabi,488.68,2278888.03,4663.39,1,2457.12,0,0,719.71,2,7,18,159.14
18-12-2023,sesame,Maharashtra,rabi,299.99,2071650.93,6905.74,1,1285.41,5689.46,2691.77,1195.94,4,88.5,43,407.72
18-12-2023,soybean,Maharashtra,rabi,343.78,1433191.2,4258.815,2,1285.41,5689.46,2691.77,937.08,3,65,22,314.68
19-12-2023,sesame,Gujarat,rabi,656.72,4694409.06,7148.26,1,1285.41,5689.46,2691.77,83.82,1,45,16,253.46
19-12-2023,soybean,Rajasthan,rabi,26.59,137298.03,5164.49,1,1285.41,2565.65,1577.97,83.82,1,16,55,460.59
20-12-2023,groundnut,Karnataka,rabi,429.21,2186327.6,5093.83,1,1633.12,2565.65,1577.97,83.82,1,16,55,460.59
20-12-2023,mustard,Haryana,rabi,984.19,4345391.01,4415.19,1,486.63,2565.65,1577.97,1199.7,4,131,36.5,760.28
20-12-2023,soybean,Telangana,rabi,154.52,674451.86,4364.81,1,468.98,2565.65,1577.97,276.16,1,123.5,35.25,1007.83
21-12-2023,groundnut,Madhya Pradesh,rabi,641.05,3283952.79,5122.78,1,468.98,7353.1,5930.65,362.06,2,103,24,354.75
21-12-2023,soybean,Maharashtra,rabi,197.55,768016.77,3887.71,1,246.29,7353.1,5930.65,837.2,2,63.66666667,13,1108.39
21-12-2023,sunflower,Bihar,rabi,273.12,1001273.39,3666.01,1,246.29,4344.27,3402.76,568.47,2,184,50,365.43
21-12-2023,sunflower,Rajasthan,rabi,682.11,2954086.64,4330.82,1,246.29,4344.27,3402.76,568.47,2,184,50,365.43
22-12-2023,mustard,Andhra Pradesh,rabi,331.76,1370012.7,4129.52,1,246.29,4344.27,3402.76,209.99,1,213.6666667,27.66666667,584.31
22-12-2023,sunflower,Odisha,rabi,165.38,552576.32,3341.35,1,246.29,4195.54,4996.61,403.15,1,138,26.5,266.66
22-12-2023,groundnut,Haryana,rabi,199.66,1095320.91,5485.89,1,246.29,4344.27,3402.76,209.99,1,112.75,26.25,1287.1
23-12-2023,soybean,Karnataka,rabi,235.67,1041176.51,4412.565,2,246.29,4195.54,4996.61,518.9,2,94,30.5,1386.16
24-12-2023,groundnut,Karnataka,rabi,567.33,3299548.62,5815.93,1,246.29,4195.54,4996.61,348.81,2,107.6,42.6,1515.45
24-12-2023,mustard,Gujarat,rabi,102.55,542762.43,5292.89,1,2465.72,4195.54,4996.61,242.35,1,85,23,778.51
24-12-2023,mustard,Punjab,rabi,664,3021342.59,4550.22,1,2465.72,4195.54,4996.61,242.35,1,85,23,778.51
25-12-2023,groundnut,Bihar,rabi,269.89,1307138.8,4843.3,1,2465.72,4195.54,4996.61,531.82,2,97,38.75,1019.19
25-12-2023,sesame,Uttar Pradesh,rabi,613.21,4539443.61,7403.27,2,2465.72,4195.54,4996.61,531.82,2,182.5,33,647.58
25-12-2023,soybean,Bihar,rabi,112.98,453634.19,4015.25,1,1297.85,2035.53,1959.62,144.42,1,90,41,1032.56
26-12-2023,soybean,Andhra Pradesh,rabi,47.62,245602.05,5157.3,1,1297.85,1958.31,2713.34,884.31,2,143,16.66666667,757.05
26-12-2023,sunflower,Haryana,rabi,372.97,1329470.01,3564.58,1,1297.85,1958.31,2713.34,80.71,1,160,14.33333333,741.26
27-12-2023,soybean,Telangana,rabi,185.21,937207.51,5060.2,1,991.77,7018.96,3680.22,690.99,2,121.25,30.25,1276.15
27-12-2023,sesame,Haryana,rabi,450.28,2552807.4,5669.39,1,991.77,7018.96,3680.22,1214.26,5,121.25,30.25,1276.15
27-12-2023,sesame,Madhya Pradesh,rabi,428.31,2642764.64,6170.25,1,991.77,7018.96,3680.22,1214.26,5,121.25,30.25,1276.15
27-12-2023,sesame,Punjab,rabi,165.7,1145345.7,6912.12,1,991.77,7018.96,3680.22,1214.26,5,121.25,30.25,1276.15
28-12-2023,sunflower,Haryana,rabi,345.16,1222978.22,3543.18,1,1603.61,3721.69,1206.15,1164.76,4,133.75,26,988.61
28-12-2023,sunflower,Uttar Pradesh,rabi,516.69,2094008.03,4052.77,1,1603.61,3616.77,5904.41,1164.76,4,133.75,26,988.61
28-12-2023,groundnut,Odisha,rabi,334.68,1541741.11,4606.57,1,991.77,7018.96,3680.22,1169.91,4,141,60.5,971.48
28-12-2023,groundnut,Rajasthan,rabi,250.72,1235386.38,4927.29,1,991.77,7018.96,3680.22,1169.91,4,141,60.5,971.48
29-12-2023,groundnut,Madhya Pradesh,rabi,297.42,1333335.7,4483.08,1,1603.61,3616.77,5904.41,411.25,2,94,13,1082.15
29-12-2023,groundnut,Punjab,rabi,479.94,2140362.01,4459.65,1,1603.61,3616.77,5904.41,411.25,2,94,13,1082.15
29-12-2023,sesame,Karnataka,rabi,172.31,1122921.98,6516.71,1,1603.61,3616.77,5904.41,1279.41,5,70.75,19,1240.34
29-12-2023,soybean,Karnataka,rabi,101.36,510259.71,5034.28,1,1603.61,3616.77,5904.41,1279.41,5,51,4,199
30-12-2023,groundnut,Odisha,rabi,165.43,837083.82,5060.2,1,1603.61,3616.77,5904.41,1279.41,5,170.6666667,8.333333333,429.85
30-12-2023,mustard,Karnataka,rabi,271.44,1476038.4,5437.71,1,1603.61,6605.92,4234.98,730.97,2,103,20,1086.38
31-12-2023,groundnut,Karnataka,rabi,306.53,1459311.59,4760.77,1,1603.61,7549.42,1584.79,480.63,2,88,47,151.78
31-12-2023,soybean,Maharashtra,rabi,322.65,1510033.86,4680.1,1,570.89,7549.42,1584.79,295.72,1,49,27,477.49
31-12-2023,sunflower,Gujarat,rabi,589.31,2494987.67,4233.73,1,570.89,7549.42,1584.79,573.19,2,126,33.33333333,1163.4
31-12-2023,groundnut,Andhra Pradesh,rabi,643.6,3386238.43,5261.37,1,1603.61,7549.42,1584.79,480.63,2,88,47,151.78
01-01-2024,soybean,Rajasthan,rabi,275.95,1376160.79,4986.99,1,3615.83,6821.41,6607.68,968.26,4,153,47.5,561.2
01-01-2024,groundnut,Gujarat,rabi,323.36,1755981.65,5430.4,1,3615.83,7136.73,4195.18,1342.19,4,103.75,38.25,1060.03
01-01-2024,mustard,Andhra Pradesh,rabi,188.62,914657.45,4849.09,1,3615.83,6821.41,6607.68,282.3,1,60.75,23.25,1030.76
01-01-2024,sesame,Madhya Pradesh,rabi,587.4,3609638.46,6145.11,1,3615.83,6821.41,6607.68,282.3,1,70,22.4,1347.74
02-01-2024,sunflower,Karnataka,rabi,564.09,1995260.03,3537.13,1,207.42,3321.84,3059.37,457.22,2,80.4,32.4,1081.05
02-01-2024,soybean,Maharashtra,rabi,295.97,1261219.98,4261.32,1,3615.83,1774.41,1904.83,594.34,4,46,23,427.08
03-01-2024,groundnut,Maharashtra,rabi,361.49,1634393.65,4521.23,1,207.42,3321.84,3059.37,1259.07,3,87.5,28.75,709.62
03-01-2024,sesame,Madhya Pradesh,rabi,417.4,2511065.21,6015.98,1,207.42,3321.84,3059.37,403.29,1,19,23,150.5
04-01-2024,mustard,Bihar,rabi,174.13,955348.63,5486.33,1,1190.57,6161.17,5854.14,700.27,2,135.3333333,25.33333333,1150.39
04-01-2024,sesame,Karnataka,rabi,133.48,811644.8,6080.44,1,1190.57,6161.17,5854.14,700.27,2,135.3333333,25.33333333,1150.39
04-01-2024,sunflower,Karnataka,rabi,95.12,337435.64,3547.66,1,2276.52,3349.42,4141.09,651.54,3,167,61,455.85
04-01-2024,sunflower,Uttar Pradesh,rabi,501.51,2009050.64,4006,1,2276.52,3329.59,760.78,651.54,3,167,61,455.85
05-01-2024,sesame,Andhra Pradesh,rabi,88.63,553567.46,6245.83,1,2276.52,3329.59,760.78,319.68,1,111.8333333,27.83333333,2215.46
05-01-2024,sesame,Punjab,rabi,586.33,3516217.97,5997.01,1,2276.52,3329.59,760.78,319.68,1,111.8333333,27.83333333,2215.46
05-01-2024,sunflower,Andhra Pradesh,rabi,559.75,2042671.25,3649.27,1,2036.08,3338.7,4443.31,375.34,1,111.8333333,27.83333333,2215.46
06-01-2024,soybean,Odisha,rabi,54.64,212024.36,3880.05,1,2036.08,1532.87,622.14,375.34,1,54.66666667,27,858.99
06-01-2024,sunflower,Bihar,rabi,510.75,1737480.66,3401.82,1,2036.08,1532.87,622.14,73.42,1,107.3333333,48.66666667,1345.14
06-01-2024,sunflower,Punjab,rabi,383.34,1472330.01,3840.78,1,2036.08,1532.87,622.14,73.42,1,107.3333333,48.66666667,1345.14
07-01-2024,mustard,Andhra Pradesh,rabi,863.18,4015955.11,4652.5,1,4006.63,6780.19,6187.77,940.51,3,178.5,15,484.16
07-01-2024,sesame,Karnataka,rabi,107.36,742031.44,6911.74,1,4006.63,8516.52,631.01,660.91,3,179,18.5,529.09
07-01-2024,sunflower,Haryana,rabi,207.38,822345.06,3965.5,1,4006.63,8516.52,631.01,751.46,3,146.6666667,26.33333333,833.51
07-01-2024,sunflower,Rajasthan,rabi,539.43,1826922.68,3386.77,1,4006.63,3406.14,1912.65,751.46,3,146.6666667,26.33333333,833.51
08-01-2024,mustard,Haryana,rabi,203.74,1102568.19,5411.56,1,2324.09,6730.42,2729.05,380.47,1,58,9,409.94
08-01-2024,groundnut,Haryana,rabi,686.26,3277969.11,4776.54,1,4006.63,3406.14,1912.65,380.47,1,145.6666667,27.33333333,588.92
09-01-2024,groundnut,Gujarat,rabi,1106.95,5784843.77,5225.95,1,2324.09,6730.42,2729.05,607.23,3,191.25,16.75,790.03
09-01-2024,soybean,Telangana,rabi,102.92,406621.19,3950.69,1,2324.09,6730.42,2729.05,1360.36,4,108,33,253.5
09-01-2024,sunflower,Haryana,rabi,411.18,1741850.38,4236.21,1,2324.09,6730.42,2729.05,811.23,3,103.4285714,25.57142857,2199.37
10-01-2024,groundnut,Gujarat,rabi,466.07,2587875.48,5552.49,1,1282.81,6730.42,2729.05,488.61,1,165.75,25,347.8
10-01-2024,mustard,Bihar,rabi,445.79,2078511.92,4662.49,1,1282.81,6730.42,2729.05,184.58,1,105,33.75,1689.13
11-01-2024,groundnut,Gujarat,rabi,886.99,5267744.43,5938.92,1,743.2,7772.41,3637.73,791.15,3,26.5,48.5,314.24
11-01-2024,mustard,Telangana,rabi,464.97,1903219.3,4093.24,1,743.2,7772.41,3637.73,76.12,1,104.5,28.5,495.97
11-01-2024,soybean,Gujarat,rabi,423.93,2070997.64,4885.21,1,743.2,7772.41,3637.73,766.62,4,108.1428571,25.57142857,2232.43
11-01-2024,sunflower,Bihar,rabi,101.81,392520.85,3855.56,1,743.2,7772.41,3637.73,420.71,1,102,14.5,541.28
12-01-2024,groundnut,Andhra Pradesh,rabi,640.26,3137658.08,4900.57,1,743.2,7772.41,3637.73,99.84,1,100,47.2,1405.62
12-01-2024,sunflower,Gujarat,rabi,501.7,1992030.7,3970.58,1,2446.55,7772.41,3637.73,876.77,4,114.3333333,18.66666667,563.21
12-01-2024,sunflower,Maharashtra,rabi,814.28,2874530.76,3639.355,2,2446.55,7772.41,3637.73,876.77,4,114.3333333,18.66666667,563.21
13-01-2024,sunflower,Haryana,rabi,956.13,3781654.82,3957.46,2,2446.55,1593.96,926.3,526.11,2,159.6,30.2,1369.89
13-01-2024,soybean,Bihar,rabi,151.41,779243.2,5146.51,1,2446.55,1593.96,926.3,526.11,2,159.6,30.2,1369.89
13-01-2024,sesame,Bihar,rabi,124.11,749902.27,6042.14,1,2446.55,11594.96,3765.53,444.58,1,85.5,23,730.91
14-01-2024,mustard,Bihar,rabi,141.17,722826.73,5120.33,1,2446.55,6438.08,5078.47,143.55,1,77.5,6,721.36
